Abalistes stellatus
Acanthaluteres vittiger
Acanthurus dussumieri
Acanthurus grammoptilus
Austrolabrus maculatus 
Bodianus frenchii
Bodianus vulpinus
Caesio cuning
Carangoides fulvoguttatus
Carangoides gymnostethus
Caranx sexfasciatus
Chaetodon assarius
Choerodon cauteroma
Choerodon cyanodus
Choerodon rubescens
Choerodon schoenleinii
Chromis westaustralis
Coris auricularis
Dasyatis brevicaudata
Epinephelides armatus
Epinephelus areolatus
Epinephelus bilobatus
Epinephelus bleekeri
Epinephelus multinotatus
Girella tephraeops
Glaucosoma hebraicum
Gnathanodon speciosus
Labroides dimidiatus
Lagocephalus sceleratus
Lethrinus genivittatus
Lethrinus miniatus
Lethrinus nebulosus1
Lethrinus nebulosus2
Lethrinus nebulosus3
Lethrinus olivaceus
Lethrinus punctulatus
Lutjanus bitaeniatus
Lutjanus bohar
Lutjanus erythropterus
Lutjanus malabaricus
Lutjanus russelli
Lutjanus sebae
Lutjanus vitta
Macolor Niger
Meuschenia galii
Meuschenia hippocrepis
Meuschenia scaber
Monotaxis grandoculis
Mustelus antarcticus
Naso annulatus
Neatypus obliquus
Nelusetta ayraudi
Nemadactylus valenciennesi
Notolabrus parilus
Odax cyanomelas
Opthalmolepis lineolatus
Pagrus auratus
Parapercis nebulosa
Parequula melbournensis
Parupeneus indicus
Parupeneus spilurus
Pelsartia humeralis
Pempheris klunzingeri
Pentapodus emeryii
Pentapodus porosus
Pictilabrus laticlavius
Platycephalus speculator 
Plectorhinchus lineatus
Plectropomus leopardus
Plectropomus maculatus
Pomacentrus coelestis
Pristipomoides multidens
Pristipomoides typus
Pseudocaranx dentex
Pseudolabrus biserialis
Rhina ancylostoma
Rhinobatus typus
Rhynchobatus djiddensis
Scarus schlegeli
Scobinichthys granulatus 
Scolopsis monogramma
Scomber australasicus
Siganus fuscescens
Sillago burrus
Thalassoma lunare
Trachinotus blochii
Trygonoptera mucosa

87 species
